instrument,energy_kev,counts,error
pn,0.771,1.0,1.0
pn,0.772,0.0,1.0
pn,0.773,0.0,1.0
pn,0.774,0.0,1.0
pn,0.775,0.0,1.0
pn,0.776,0.0,1.0
pn,0.777,0.0,1.0
pn,0.778,1.0,1.0
pn,0.779,0.0,1.0
pn,0.78,0.0,1.0
pn,0.781,1.0,1.0
pn,0.782,0.0,1.0
pn,0.783,0.0,1.0
pn,0.784,3.0,1.7320508075688772
pn,0.785,0.0,1.0
pn,0.786,0.0,1.0
pn,0.787,0.0,1.0
pn,0.788,1.0,1.0
pn,0.789,1.0,1.0
pn,0.79,1.0,1.0
pn,0.791,0.0,1.0
pn,0.792,0.0,1.0
pn,0.793,1.0,1.0
pn,0.794,0.0,1.0
pn,0.795,0.0,1.0
pn,0.796,1.0,1.0
pn,0.797,0.0,1.0
pn,0.798,1.0,1.0
pn,0.799,2.0,1.4142135623730951
pn,0.8,1.0,1.0
pn,0.801,0.0,1.0
pn,0.802,0.0,1.0
pn,0.803,0.0,1.0
pn,0.804,0.0,1.0
pn,0.805,0.0,1.0
pn,0.806,1.0,1.0
pn,0.807,0.0,1.0
pn,0.808,0.0,1.0
pn,0.809,2.0,1.4142135623730951
pn,0.81,0.0,1.0
pn,0.811,1.0,1.0
pn,0.812,0.0,1.0
pn,0.813,1.0,1.0
pn,0.814,0.0,1.0
pn,0.815,0.0,1.0
pn,0.816,0.0,1.0
pn,0.817,0.0,1.0
pn,0.818,0.0,1.0
pn,0.819,0.0,1.0
pn,0.82,1.0,1.0
pn,0.821,0.0,1.0
pn,0.822,0.0,1.0
pn,0.823,0.0,1.0
pn,0.824,0.0,1.0
pn,0.825,0.0,1.0
pn,0.826,0.0,1.0
pn,0.827,1.0,1.0
pn,0.828,0.0,1.0
pn,0.829,0.0,1.0
pn,0.83,1.0,1.0
pn,0.831,0.0,1.0
pn,0.832,0.0,1.0
pn,0.833,0.0,1.0
pn,0.834,0.0,1.0
pn,0.835,0.0,1.0
pn,0.836,0.0,1.0
pn,0.837,0.0,1.0
pn,0.838,1.0,1.0
pn,0.839,0.0,1.0
pn,0.84,0.0,1.0
pn,0.841,1.0,1.0
pn,0.842,1.0,1.0
pn,0.843,0.0,1.0
pn,0.844,1.0,1.0
pn,0.845,0.0,1.0
pn,0.846,1.0,1.0
pn,0.847,0.0,1.0
pn,0.848,0.0,1.0
pn,0.849,0.0,1.0
pn,0.85,1.0,1.0
pn,0.851,0.0,1.0
pn,0.852,0.0,1.0
pn,0.853,0.0,1.0
pn,0.854,0.0,1.0
pn,0.855,0.0,1.0
pn,0.856,0.0,1.0
pn,0.857,1.0,1.0
pn,0.858,0.0,1.0
pn,0.859,0.0,1.0
pn,0.86,0.0,1.0
pn,0.861,0.0,1.0
pn,0.862,0.0,1.0
pn,0.863,0.0,1.0
pn,0.864,0.0,1.0
pn,0.865,0.0,1.0
pn,0.866,0.0,1.0
pn,0.867,0.0,1.0
pn,0.868,0.0,1.0
pn,0.869,0.0,1.0
pn,0.87,0.0,1.0
pn,0.871,0.0,1.0
pn,0.872,0.0,1.0
pn,0.873,1.0,1.0
pn,0.874,0.0,1.0
pn,0.875,1.0,1.0
pn,0.876,0.0,1.0
pn,0.877,0.0,1.0
pn,0.878,0.0,1.0
pn,0.879,0.0,1.0
pn,0.88,0.0,1.0
pn,0.881,0.0,1.0
pn,0.882,0.0,1.0
pn,0.883,0.0,1.0
pn,0.884,0.0,1.0
pn,0.885,1.0,1.0
pn,0.886,0.0,1.0
pn,0.887,1.0,1.0
pn,0.888,1.0,1.0
pn,0.889,0.0,1.0
pn,0.89,1.0,1.0
pn,0.891,1.0,1.0
pn,0.892,0.0,1.0
pn,0.893,0.0,1.0
pn,0.894,0.0,1.0
pn,0.895,0.0,1.0
pn,0.896,0.0,1.0
pn,0.897,0.0,1.0
pn,0.898,0.0,1.0
pn,0.899,1.0,1.0
